時間戳記,電燈狀態,溫度,濕度
2025-11-30 15:35:01,開,29.91,56.51
2025-11-30 15:35:03,關,26.66,54.52
2025-11-30 15:35:05,開,22.63,61.85
2025-11-30 15:35:07,關,28.7,48.48
2025-11-30 15:40:02,開,24.74,67.26
2025-11-30 15:40:04,關,16.53,48.37
2025-11-30 15:40:06,開,17.08,53.67
2025-11-30 15:40:08,關,18.28,52.4
2025-11-30 15:40:10,開,22.29,63.17
2025-11-30 15:40:12,關,18.58,41.9
2025-11-30 15:40:14,開,29.01,54.2
2025-11-30 15:40:16,關,21.02,49.61
2025-11-30 15:40:18,開,24.41,68.76
2025-11-30 15:40:20,關,28.33,47.95
2025-11-30 15:41:11,開,28.68,56.59
2025-11-30 15:41:13,關,19.97,41.53
2025-11-30 15:41:15,開,25.95,41.04
2025-11-30 15:41:17,關,20.13,69.22
2025-11-30 15:41:19,開,17.06,59.71
2025-11-30 15:41:21,關,28.4,66.4
2025-11-30 15:41:23,開,16.42,64.85
2025-11-30 15:41:25,關,25.72,46.53
2025-11-30 15:41:27,開,20.16,52.43
2025-11-30 15:41:29,關,23.96,48.93
2025-11-30 15:43:41,開,24.2,42.53
2025-11-30 15:43:43,關,18.97,65.34
2025-11-30 15:43:45,開,22.4,61.27
2025-11-30 15:43:47,關,19.57,42.83
2025-11-30 15:43:49,開,27.46,58.56
2025-11-30 15:43:51,關,19.26,46.33
2025-11-30 15:43:53,開,28.2,64.48
2025-11-30 15:43:55,關,21.93,55.02
2025-11-30 15:43:57,開,22.39,62.49
2025-11-30 15:43:59,關,24.19,61.66
2025-11-30 15:46:28,開,23.98,51.31
2025-11-30 15:46:29,關,27.07,46.98
2025-11-30 15:46:30,開,27.72,44.6
2025-11-30 15:46:31,關,18.28,68.19
2025-11-30 15:46:32,開,17.12,59.34
2025-11-30 15:46:33,關,24.19,41.09
2025-11-30 15:46:34,開,28.26,48.19
2025-11-30 15:46:35,關,17.8,44.05
2025-11-30 15:46:36,開,26.38,50.46
2025-11-30 15:46:37,關,23.44,48.55
2025-11-30 15:46:38,開,25.83,57.52
2025-11-30 15:46:39,關,24.29,68.5
2025-11-30 15:46:40,開,24.58,54.16
2025-11-30 15:46:41,關,22.26,40.94
2025-11-30 15:46:42,開,16.17,52.6
2025-11-30 15:47:10,開,25.59,44.17
2025-11-30 15:47:11,關,23.14,68.69
2025-11-30 15:47:12,開,22.6,57.0
2025-11-30 15:47:13,關,28.69,54.22
2025-11-30 15:47:14,開,29.68,40.3
2025-11-30 15:47:15,關,22.55,53.92
2025-11-30 15:47:16,開,28.74,53.85
2025-11-30 15:47:17,關,27.82,52.73
2025-11-30 15:47:18,開,20.24,64.15
2025-11-30 15:47:19,關,22.27,43.17
2025-11-30 15:47:20,開,20.33,43.99
2025-11-30 15:47:21,關,16.55,40.16
2025-11-30 15:47:22,開,15.11,66.53
2025-11-30 15:47:23,關,18.75,43.17
2025-11-30 15:47:24,開,15.28,53.86
